title,source,id,score,details
Game-Theoretic LLM: Agent Workflow for Negotiation Games,none,,,not found
Harnessing Language for Coordination: A Framework and Benchmark for LLM-Driven Multi-Agent Control,none,,,not found
Leveraging Generative AI to Create Lightweight Simulations for Far-Future Autonomous Teammates,none,,,not found
Playing Games With GPT: What Can We Learn About a Large Language Model From Canonical Strategic Games?,doi,10.2307\/2525845,0.54,j:0.45 ca:0.62 cb:0.62
PokeLLMon: A Human-Parity Agent for Pokemon Battles with Large Language Models,none,,,not found
Project Sid: Many-agent simulations toward AI civilization,none,,,not found
Research on Wargame Decision-Making Method Based on Multi-Agent Deep Deterministic Policy Gradient,doi,10.1007\/978-981-19-6203-5_78,0.55,j:0.50 ca:0.60 cb:0.60
SC-Phi2: A Fine-tuned Small Language Model for StarCraft II Macromanagement Tasks,none,,,not found
SC2Arena and StarEvolve: Benchmark and Self-Improvement Framework for LLMs in Complex Decision-Making Tasks,none,,,not found
Shall We Team Up: Exploring Spontaneous Cooperation of Competing LLM Agents,arxiv,2402.12327v3,1.00,j:1.00 ca:1.00 cb:1.00
Strategy-Augmented Planning for Large Language Models via Opponent Exploitation,none,,,not found
The Automated but Risky Game: Modeling Agent-to-Agent Negotiations and Transactions in Consumer Markets,none,,,not found
Tracing LLM Reasoning Processes with Strategic Games: A Framework for Planning, Revision, and Resource-Constrained Decision Making,none,,,not found
War and Peace (WarAgent): Large Language Model-based Multi-Agent Simulation of World Wars,none,,,not found
Advancing AI Negotiations: New Theory and Evidence from an International AI Negotiation Competition,doi,10.18653\/v1\/2024.findings-acl.213,0.71,j:0.62 ca:0.83 cb:0.71
Agent Exchange: Shaping the Future of AI Agent Economics,arxiv,2507.03904v1,1.00,j:1.00 ca:1.00 cb:1.00
Agents of Change: Self-Evolving LLM Agents for Strategic Planning,none,,,not found
Debt Collection Negotiations with Large Language Models,arxiv,2502.18228v1,0.65,j:0.50 ca:1.00 cb:0.50
Democratizing Diplomacy: A Harness for Evaluating Any Large Language Model on Full-Press Diplomacy,none,,,not found
Dungeons and Dragons as a Dialogue Challenge for Artificial Intelligence,none,,,not found
EAI: Emotional Decision-Making of LLMs in Strategic Games and Ethical Dilemmas,none,,,not found
Evaluating LLM Agent Collusion in Double Auctions,arxiv,2507.01413v1,1.00,j:1.00 ca:1.00 cb:1.00
FishBargain: An LLM-Empowered Bargaining Agent for Online Flea-Market Platform Sellers,none,,,not found
HARBOR: Exploring Persona Dynamics in Multi-Agent Competition,none,,,not found
Learning from Synthetic Labs: Language Models as Experimental Subjects in Auctions,none,,,not found
MultiMind: Enhancing Werewolf Agents with Multimodal Memory,none,,,not found
The Traitors: Deception and Trust in Multi-Agent Language Systems,doi,10.1007\/978-3-662-04607-4,0.60,j:0.50 ca:0.50 cb:1.00
Large Language Models in Wargaming: Methodology, Application, and Robustness,none,,,not found
